id_18383|||"
VOCABULARIO 
DE LAS VOCES PROVINCIALES 
DE LA AMERICA
Usadas en el Diccionario Geográfico-Historico 
de ella; y de los Nombres propios de plantas. 
aves y animales. 
Ofrecimos en el Plan de subscripción, que se publico para este Diccionario, dar al fin de la Obra este Vocabulario, como parte precisa para la inteligencia de muchas voces usadas en aquellos Países: unas que aunque originarias de España, y especialmente de Andalucía, han degenerado allí por la corrupción que ha introducido la mezcla de los idiomas de los Indios; y otras tomadas de estos, y mal pronunciadas por los Españoles; y sin embargo de que en muchos artículos explicamos el significado de algunas, como ocurren las mismas en otros, y no es posible tener presente el de la Provincia, Pueblo, ó distrito en que se dixo, creímos que seria conveniente reunirlos por orden alfabético para que qualquicra pueda imponerse con facilidad del significado de la voz que no comprehenda en los Artículos del Diccionario. 
Esto nos ha conducido insensiblemente á explicar completamente las Plantas, Aves, y Animales de aquellas Regiones, y las virtudes, y propiedades que están conocidas, arreglándonos al sistema y método del Caballero Linnco, generalmente admitido entre los sabios. Pero á pesar de nuestra diligencia (y de haber consultado conelDr. D.Casimiro de Ortega, primer Catedrático del Real Jardín Botánico de esta Corte, á quien debe mirarse por restaurador de esta Cieneia en España), no hemos conseguido el completo que deseábamos en todos los Artículos, á causa del descuido con que se ha visto esta parte de la Historia de America, y de la confusión y falta de principios con que la mayor parte de los Escritores han hecho las descripciones diminutas que tenemos, en cuyo caso hemos adoptado los nombres puestos por otros Naturalistas, como Marcgraf, Pisón, Sloane, Molina, Bomare 8cc. advirtiendo que los que no llevan la cifra o iniciales de alguno de estos, se debe entender del referido Linneo. 
El Público juzgará por este trabajo el que ponemos en todo lo que conduce á perfeccionar el Diccionario, y no le quedará duda luego que vea el suplemento que daremos á luz de las correcciones y adiciones que continuamente nos envían de todas partes, con lo qual nada dexaremos que desear, y yo viviré reconocido al Público Español por el aprecio que ha hecho de la Obra, como califica el despacho que ha tenido hasta ahora, y el empeño con que muchos contribuyen á su perfeccion. "|Usadas|[]
id_18384|ACHOTE||"
 ACHOTE (Bixa Oreüana) 
o con mas propiedad Achiote. Semilla indígena de la América, que la gente vulgar suele mezclar en el chocolate: se produce en la mitcla diph)la, que es dd género de la decandria digynia, cuyo cáliz consiste en cinco segmentos, la corola en otros tantos pétalos insertos en el cadiz, y la cápsula de dos bálbulas iguales: entre los pequeños filamentos ú hojas de este árbol pequeño está el fruto, que son unos granitos encamados como el vermellon y de figura cónica, en un erizo blando de tres dedos de largo, del qual hacen pasta; se usa también para los condimentos en lugar de especia: abunda en la América Meridional y Septentrional, y se trae mucha cantidad á Eutopa para los tintes: es el Rocou de los Franceses: y Urucú de los Botánicos. "|Eutopa|[]
id_18385|ACHUPALLA||"
 ACHUPALLA (Etyngium aquatkttm) Planta del Perú compuesta de pencas semejantes á las de la savila, de que usan los Indios para ensalada quando es tierno el tronco, como hacen con el palmito; solo se da en los parages muy frios, y por eso no se encuentra mas que en los páramos 6 alturas nevadas de la cordillera do los Andes. "||[]
id_18386|ACRE||"
 ACRE. Medida de tierra osada por los extrangeros, expeel al mentí por los Ingleses y Holandeses en sus Colonias de América: es peculiar délos Franceses en la Provincia de Normandía, y ha variado mucho según los parages, y naciones; pero regularmente consta de IC0 perchas, ó pértigas cada una de diez pies. 
"|Medida|[]
id_18387|||"
ACURI ó AGUTI (Mus Agutí). Animal quadrúpedo pequeño de la magnitud de ona Liebre, de pelo negro pardusco, con cola muy corta, y en la boca y dientes parecido al Conejo: habita en cuevecillas que hace comunmente al pie de los árboles y matorrales, donde lo cazan con perros: su carne es comestible y de tan buen gusto como la del Conejo: cogidos se domestican y mantienen en las casas comiendo con los gatos al pie de la mesa. "||[]
id_18388|AETITES||"
 AETITES, 
O Piedra del Aguila bien conocida en Europa, y de que hay mina en la Provincia de Huamalies del Reyno del Perú: es una piedra ferruginosa con cavidad interior, unas veces llena y otras vacia, de figuras diferentes, ya redonda, ovalada, triangular, quadrada ó chata: la superficie suele ser lisa, ó áspera. Algunos han creído sin fundamento que se hallaban estas piedras en los nidos de las Aguilas, de lo que le han dado el nombre, atribuyéndole los antiguos Naturalistas las virtudes de hacer poner el huevo á la Aguila, de facilitar el parto, é impedir el aborto á las mugeres; pero todo es imaginario. Esta piedra se compone de muchas capas de color encarnado obscuro que se separan con facilidad, y se forman de una materia blanda, cubriendo una nuez que algunas veces es movible y los Naturalistas llaman c allí mus. "|áspera|"[<placename><district key=""SUPE0000"">Reyno del Perú</district></placename>]"
id_18389|AGI||"
 AGI (Capsicum). 
Es el pimiento á quien dan este nombre en el Perú, y en el Reyno de Tierrafirme: los hay de muchas especies, figuras, y tamaños, distinguidos con los nombres de aznauchos, conguitos, pico de páxaro y otros, algunos de ellos de tan activo picante que no se puede sufrir: lo usan tanto en todos los condimentos que nada se come sin agí, y también los guardan adobados en vinagre; en diferentes partes es un ramo de comercio muy considerable, los mas comunes nacen silvestres, y sin cultivo: en Nueva España se llama Chile. "||"[<placename><district key=""SUPE0000"">el Perú</district></placename>, <placename><district key=""SUNE0000"">Nueva España</district></placename>]"
id_18390|||"
AGIACO. 
Comida muy usada en Cartagena, y Nuevo Reyno de Granada: es menestra compuesta de una yerba que tiene este nombre semejante á la azfcdera, y muy gustosa. "||"[<placename><district key=""AUSF0000"">Nuevo Reyno de Granada</district></placename>]"
id_18391|AGRAZ||"
 AGRAZ. 
O Colorado, Bejuco y planta de la Provincia de San Juan de los Llanos en el Nuevo Reyno de Granada, se cria particularmente en el Pueblo de Macuto: cortando un pedazo de él, y soplando por un extremo, sale por el otro una porción de agua que por repetidas experiencias hechas es un colirio de singular virtud para las enfermedades de los ojos, disipando las nubes, y cataratas y aclarando la vista. "||"[<placename><district key=""AUSF0000"">Nuevo Reyno de Granada</district></placename>]"
id_18392|AGUACATE||"
 AGUACATE (Lattrus Persea). Arbol que se mantiene todo el año frondoso y da el fruto dos veces: es parecido en el tamaño y color á la pera de Don Guindo, con la diferencia de tener mas prolongado el cuello, la medula es blanda y verdegal, semejante á la manteca y de sabor insípido, por lo qual se come con sal: la corteza es consistente como la de la naranja quando está seca, el hueso es grande, de figura elíptica que remata en punta lisa y de color de castaña: estregando con ella un lienzo blanco le da un color acanelado permanente y fino: en el Perú se llama Palta. "||"[<placename><district key=""SUPE0000"">el Perú</district></placename>]"
